IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEER;MODO;TIMODO;TIDEVE;TIDEVEFE;TIDEVEHO;PPPRNE;TAMOPPPR;VANELI;FEEMLI;KOFULIDO;LILG;PRCT;NULIDO;FEERLI;SULIDO;BOSULIDO;LUVTLIDO;KOPRCT;UD01PR;NOKOZO;IDMAEDDO;NUSEPR;CAPRCO1;CAPRAD1;CAPREX1;UD02PR;CAPRCO2;CAPRAD2;CAPREX2;OCDO;OBDO;NOKOEN;ZOEN;DIEN;COMUNA;TIPR;NOKOPR;PFPR;FMPR;RUPR;MRPR;STFI1;STFI2;PRRG;KOPRTE;PENDIENTE;MONTO;OBSERVA
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;22.310,00;1,00;254.334,00;20/01/2026;MLT;SI;FALSO;00001;30/01/2026;004;006;38;PCA103MADPLU1;GL;;1.725.829,00;;12,00;0,00;0,00;GL;12,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;VITRIFICANTE DE MADERA VITROPLUS GL;0002;003;01;;178,00;178,00;FALSO;PCA103MADPLU1;12,00;267720;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;15.990,00;1,00;121.524,00;20/01/2026;MLT;SI;FALSO;00002;30/01/2026;004;006;38;PCA113POLVER1;GL;;1.725.830,00;;8,00;0,00;0,00;GL;8,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;STAIN POLICECOR VERDE GL;0002;003;01;;82,00;82,00;FALSO;PCA113POLVER1;8,00;127920;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;16.700,00;1,00;63.460,00;20/01/2026;MLT;SI;FALSO;00003;30/01/2026;004;006;38;PCA904BLAN001;GL;;1.725.831,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;OLEO SEMI BRILLO BLANCO GL.;0002;003;01;;27,00;27,00;VERDADERO;PCA904BLAN001;4,00;66800;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;16.890,00;1,00;64.182,00;20/01/2026;MLT;SI;FALSO;00004;30/01/2026;004;006;38;PCA926BLAN001;GL;;1.725.832,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;OLEO BRILLANTE BLANCO GL.;0002;003;01;;127,00;127,00;VERDADERO;PCA926BLAN001;4,00;67560;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;16.890,00;1,00;64.182,00;20/01/2026;MLT;SI;FALSO;00005;30/01/2026;004;006;38;PCA926NEGRO01;GL;;1.725.833,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;OLEO BRILLANTE NEGRO GL.;0002;003;01;;70,00;70,00;VERDADERO;PCA926NEGRO05;4,00;67560;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;4.850,00;1,00;27.645,00;20/01/2026;MLT;SI;FALSO;00006;30/01/2026;004;006;38;PCA113POLALE2;GL;;1.725.834,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;STAIN POLIDECOR ALERCE 1/4 GL;0002;003;01;;18,25;73,00;FALSO;PCA113POLALE2;6,00;29100;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;14.640,00;1,00;166.896,00;20/01/2026;MLT;SI;FALSO;00007;30/01/2026;004;006;38;PCA960COPPBL1;GL;;1.725.835,00;;12,00;0,00;0,00;GL;12,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ESMALTE AGUA COPPER C/COBRE 960 BLANCO GL.;0001;003;;;551,00;551,00;VERDADERO;PCA960COPPBL1;12,00;175680;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;14.640,00;1,00;166.896,00;20/01/2026;MLT;SI;FALSO;00008;30/01/2026;004;006;38;PCA960ECOPNE1;GL;;1.725.836,00;;12,00;0,00;0,00;GL;12,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ESMALTE AL AGUA COPPER C/COBRE 960 NEGRO GL.;0001;003;;;120,00;120,00;FALSO;PCA960ECOPNE1;12,00;175680;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;16.190,00;1,00;61.522,00;20/01/2026;MLT;SI;FALSO;00009;30/01/2026;004;006;38;PCA910BLAN001;GL;;1.725.837,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;OLEO OPACO BLANCO GL.;0002;003;01;;44,00;44,00;VERDADERO;PCA910BLAN001;4,00;64760;
537.262,00;NVV;0000427394;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;15.990,00;1,00;121.524,00;20/01/2026;MLT;SI;FALSO;00010;30/01/2026;004;006;38;PCA108BLAN001;GL;;1.725.838,00;;8,00;0,00;0,00;GL;8,00;0,00;0,00;1224180;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ESMALTE ANTICORROSIVO BLANCO GL;0002;003;01;;189,00;189,00;VERDADERO;PCA108BLAN001;8,00;127920;
537.817,00;NVV;0000427447;13265284-8;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;4.500,00;1,00;27.000,00;23/01/2026;PSV;SI;FALSO;00001;04/02/2026;004;006;37;PCA106BAROBL2;GL;;1.727.423,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO CLIENTE RÍO GUTALEUFU 344 VILLA LOS RÍOS ANGOL - PAGO REALIZADO;BORIS GIOVANNI MENDOZA GOMEZ;;RIO FUTALEUFU 344;ANGOL;FPN;BARNIZ MARINO ROBLE 1/4;;003;01;;23,75;95,00;FALSO;PCA106BAROBL2;6,00;27000;
537.817,00;NVV;0000427447;13265284-8;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;4.500,00;1,00;27.000,00;23/01/2026;PSV;SI;FALSO;00002;04/02/2026;004;006;37;PCA106BAALER2;GL;;1.727.424,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO CLIENTE RÍO GUTALEUFU 344 VILLA LOS RÍOS ANGOL - PAGO REALIZADO;BORIS GIOVANNI MENDOZA GOMEZ;;RIO FUTALEUFU 344;ANGOL;FPN;BARNIZ MARINO ALERCE 1/4;;003;01;;32,75;131,00;FALSO;PCA106BAALER2;6,00;27000;
537.817,00;NVV;0000427447;13265284-8;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;5.800,00;1,00;34.800,00;23/01/2026;PSV;SI;FALSO;00003;04/02/2026;004;006;37;PCA108NEGRO02;GL;;1.727.425,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO CLIENTE RÍO GUTALEUFU 344 VILLA LOS RÍOS ANGOL - PAGO REALIZADO;BORIS GIOVANNI MENDOZA GOMEZ;;RIO FUTALEUFU 344;ANGOL;FPN;ESMALTE ANTICORROSIVO NEGRO 1/4;0002;003;01;;157,75;483,00;VERDADERO;PCA108NEGRO02;6,00;34800;
537.817,00;NVV;0000427447;13265284-8;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;4.640,00;1,00;27.840,00;23/01/2026;PSV;SI;FALSO;00004;04/02/2026;004;006;37;PCA926BLAN002;GL;;1.727.426,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO CLIENTE RÍO GUTALEUFU 344 VILLA LOS RÍOS ANGOL - PAGO REALIZADO;BORIS GIOVANNI MENDOZA GOMEZ;;RIO FUTALEUFU 344;ANGOL;FPN;OLEO BRILLANTE BLANCO 1/4;0002;003;01;;28,25;113,00;VERDADERO;PCA926BLAN002;6,00;27840;
537.817,00;NVV;0000427447;13265284-8;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;4.640,00;1,00;27.840,00;23/01/2026;PSV;SI;FALSO;00005;04/02/2026;004;006;37;PCA926CAFE002;GL;;1.727.427,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO CLIENTE RÍO GUTALEUFU 344 VILLA LOS RÍOS ANGOL - PAGO REALIZADO;BORIS GIOVANNI MENDOZA GOMEZ;;RIO FUTALEUFU 344;ANGOL;FPN;OLEO BRILLANTE CAFE MORO 1/4;0002;003;01;;129,75;69,00;VERDADERO;PCA926CAFE002;6,00;27840;
537.817,00;NVV;0000427447;13265284-8;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;10.490,00;1,00;41.960,00;23/01/2026;PSV;SI;FALSO;00006;04/02/2026;004;006;37;PCA925CONST01;GL;;1.727.428,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;;DESPACHO CLIENTE RÍO GUTALEUFU 344 VILLA LOS RÍOS ANGOL - PAGO REALIZADO;BORIS GIOVANNI MENDOZA GOMEZ;;RIO FUTALEUFU 344;ANGOL;FPN;ESMALTE AL AGUA CONSTRUCCION BLANCO GL;0001;003;;;178,00;178,00;FALSO;PCA925CONST01;4,00;41960;
537.817,00;NVV;0000427447;13265284-8;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;4.370,00;1,00;26.220,00;23/01/2026;PSV;SI;FALSO;00007;04/02/2026;004;006;37;PCA106NEGRO02;GL;;1.727.429,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO CLIENTE RÍO GUTALEUFU 344 VILLA LOS RÍOS ANGOL - PAGO REALIZADO;BORIS GIOVANNI MENDOZA GOMEZ;;RIO FUTALEUFU 344;ANGOL;FPN;ANTICORROISIVO ESTRUCTURAL NEGRO 1/4;0002;003;01;;57,25;199,00;VERDADERO;PCA106NEGRO02;6,00;26220;
536.420,00;NVV;0000427321;13732;;004;14/01/2026;14/01/2026;$;N;;27/01/2026;;25.000,00;1,00;125.000,00;14/01/2026;PBV;SI;FALSO;00010;27/01/2026;004;006;37;PCA980ECOVGR1;GL;;1.723.123,00;;5,00;0,00;0,00;GL;5,00;0,00;0,00;1223171;DESPACHAR A : CAUPOLICAN N957, TEMUCO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ECOVIT PLUS PISOS Y DEMARCACION GRIS GL;;003;;;0,00;0,00;FALSO;PCA980ECOVGR1;5,00;125000;
536.420,00;NVV;0000427321;13732;;004;14/01/2026;14/01/2026;$;N;;27/01/2026;;95.000,00;1,00;475.000,00;14/01/2026;PBV;SI;FALSO;00011;27/01/2026;004;006;37;PCA980ECOVAM6;GL;;1.723.124,00;;20,00;0,00;0,00;BD;5,00;0,00;0,00;1223171;DESPACHAR A : CAUPOLICAN N957, TEMUCO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ECOVIT PLUS PISOS Y DEMARCACION AMARILLO 4 GALONES;;003;;;28,00;7,00;FALSO;PCA980ECOVAM6;5,00;475000;
536.420,00;NVV;0000427321;13732;;004;14/01/2026;14/01/2026;$;N;;27/01/2026;;95.000,00;1,00;475.000,00;14/01/2026;PBV;SI;FALSO;00013;27/01/2026;004;006;37;PCA980ECOVGR6;GL;;1.723.126,00;;20,00;0,00;0,00;BD;5,00;0,00;0,00;1223171;DESPACHAR A : CAUPOLICAN N957, TEMUCO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ECOVIT PLUS PISOS Y DEMARCACION GRIS 4 GALONES;;003;;;0,00;0,00;FALSO;PCA980ECOVGR6;5,00;475000;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;4.640,00;1,00;27.840,00;22/01/2026;BGB;SI;FALSO;00001;03/02/2026;004;006;37;PCA926CAFE002;GL;;1.727.036,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;OLEO BRILLANTE CAFE MORO 1/4;0002;003;01;;129,75;69,00;VERDADERO;PCA926CAFE002;6,00;27840;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;14.490,00;1,00;57.960,00;22/01/2026;BGB;SI;FALSO;00002;03/02/2026;004;006;37;PCA907BLAN001;GL;;1.727.037,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ZINC ACRYL BLANCO GL.;0001;003;01;;94,00;94,00;VERDADERO;PCA907BLAN001;4,00;57960;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;10.490,00;1,00;83.920,00;22/01/2026;BGB;SI;FALSO;00003;03/02/2026;004;006;37;PCAEXTRACUB01;GL;;1.727.038,00;;8,00;0,00;0,00;GL;8,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;LATEX SUPERCUBRIENTE BLANCO GL;0001;003;01;;122,00;122,00;VERDADERO;PCAEXTRACUB01;8,00;83920;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;13.120,00;1,00;52.480,00;22/01/2026;BGB;SI;FALSO;00004;03/02/2026;004;006;37;PANES930BL001;GL;;1.727.039,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ESMALTE AL AGUA 930 BLANCO  GL;0001;003;01;;40,00;40,00;VERDADERO;PANESM930001;4,00;52480;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;14.640,00;1,00;58.560,00;22/01/2026;BGB;SI;FALSO;00005;03/02/2026;004;006;37;PCA960ECOPPI1;GL;;1.727.040,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ESMALTE AL AGUA COPPER C/COBRE 960 PISTACHO GL.;0001;003;;;36,00;36,00;FALSO;PCA960ECOPPI1;4,00;58560;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;14.490,00;1,00;57.960,00;22/01/2026;BGB;SI;FALSO;00006;03/02/2026;004;006;37;PCA106GRIS001;GL;;1.727.041,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ANTICORROSIVO GRIS GL.;0002;003;01;;88,00;88,00;FALSO;PCA106GRIS001;4,00;57960;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;19.500,00;1,00;78.000,00;22/01/2026;BGB;SI;FALSO;00007;03/02/2026;004;006;37;PCA922AREY001;GL;;1.727.042,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ESMALTE SINTETICO AMARILLO REY GL.;0002;003;01;;34,00;34,00;VERDADERO;PCA922AREY001;4,00;78000;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;19.500,00;1,00;78.000,00;22/01/2026;BGB;SI;FALSO;00008;03/02/2026;004;006;37;PCA922BLAN001;GL;;1.727.043,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ESMALTE SINTETICO BLANCO GL.;0002;003;01;;157,00;157,00;VERDADERO;PCA922BLAN001;4,00;78000;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;4.500,00;1,00;27.000,00;22/01/2026;BGB;SI;FALSO;00009;03/02/2026;004;006;37;PCA106BANOG02;GL;;1.727.044,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;BARNIZ MARINO NOGAL 1/4;;003;01;;21,25;85,00;FALSO;PCA106BANOG02;6,00;27000;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;4.500,00;1,00;27.000,00;22/01/2026;BGB;SI;FALSO;00010;03/02/2026;004;006;37;PCA106BACAB02;GL;;1.727.045,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;BARNIZ MARINO CAOBA 1/4;;003;01;;18,50;74,00;FALSO;PCA106BACAB02;6,00;27000;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;4.190,00;1,00;25.140,00;22/01/2026;BGB;SI;FALSO;00011;03/02/2026;004;006;37;PCA960ECOPDA2;GL;;1.727.046,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ESMALTE AL AGUA COPPER 960 DAMASCO 1/4;0001;003;;;5,75;23,00;FALSO;PCA960ECOPDA2;6,00;25140;
537.691,00;NVV;0000427437;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;4.190,00;1,00;25.140,00;22/01/2026;BGB;SI;FALSO;00012;03/02/2026;004;006;37;PCA960ECOPBN2;GL;;1.727.047,00;;1,50;0,00;0,00;04;6,00;0,00;0,00;;DESPACHO  RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;ESMALTE AL AGUA COPPER 960 BLANCO NACAR 1/4.;0001;003;;;10,25;41,00;FALSO;PCA960ECOPBN2;6,00;25140;
537.693,00;NVV;0000427438;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;4.640,00;1,00;55.680,00;22/01/2026;BGB;SI;FALSO;00001;03/02/2026;004;006;37;PCA926NEGRO02;GL;;1.727.054,00;;3,00;0,00;0,00;04;12,00;0,00;0,00;;DESPACHO RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;OLEO BRILLANTE NEGRO 1/4;0002;003;01;;21,25;85,00;FALSO;PCA926NEGRO02;12,00;55680;
537.693,00;NVV;0000427438;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;4.640,00;1,00;55.680,00;22/01/2026;BGB;SI;FALSO;00002;03/02/2026;004;006;37;PCA926BLAN002;GL;;1.727.055,00;;3,00;0,00;0,00;04;12,00;0,00;0,00;;DESPACHO RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;OLEO BRILLANTE BLANCO 1/4;0002;003;01;;28,25;113,00;VERDADERO;PCA926BLAN002;12,00;55680;
537.693,00;NVV;0000427438;6647963-3;;004;22/01/2026;03/02/2026;$;N;;03/02/2026;;16.890,00;1,00;135.120,00;22/01/2026;BGB;SI;FALSO;00003;03/02/2026;004;006;37;PCA926BLAN001;GL;;1.727.056,00;;8,00;0,00;0,00;GL;8,00;0,00;0,00;;DESPACHO RECABARREN N 01780 TEMUCO;DEMETRIO OMAR MOLINA;;RECABARREN N° 01780;TEMUCO;FPN;OLEO BRILLANTE BLANCO GL.;0002;003;01;;127,00;127,00;VERDADERO;PCA926BLAN001;8,00;135120;
